bin_start,bin_end,count
0.0,0.7142857142857143,322
0.7142857142857143,1.4285714285714286,380
1.4285714285714286,2.142857142857143,358
2.142857142857143,2.857142857142857,0
2.857142857142857,3.5714285714285716,346
3.5714285714285716,4.285714285714286,351
4.285714285714286,5.0,0
5.0,5.714285714285714,315
5.714285714285714,6.428571428571429,324
6.428571428571429,7.142857142857143,384
7.142857142857143,7.857142857142858,0
7.857142857142858,8.571428571428571,356
8.571428571428571,9.285714285714286,352
9.285714285714286,10.0,356
