bin_start,bin_end,count
0.0,11.627906976744185,1817
11.627906976744185,23.25581395348837,1756
23.25581395348837,34.883720930232556,1691
34.883720930232556,46.51162790697674,1803
46.51162790697674,58.13953488372093,1905
58.13953488372093,69.76744186046511,1718
69.76744186046511,81.3953488372093,1888
81.3953488372093,93.02325581395348,1850
93.02325581395348,104.65116279069767,1620
104.65116279069767,116.27906976744185,1867
116.27906976744185,127.90697674418604,1626
127.90697674418604,139.53488372093022,1799
139.53488372093022,151.1627906976744,1814
151.1627906976744,162.7906976744186,1669
162.7906976744186,174.41860465116278,1894
174.41860465116278,186.04651162790697,1848
186.04651162790697,197.67441860465115,1703
197.67441860465115,209.30232558139534,1845
209.30232558139534,220.93023255813952,1668
220.93023255813952,232.5581395348837,1801
232.5581395348837,244.1860465116279,1834
244.1860465116279,255.81395348837208,1692
255.81395348837208,267.4418604651163,1814
267.4418604651163,279.06976744186045,1836
279.06976744186045,290.6976744186046,1670
290.6976744186046,302.3255813953488,1742
302.3255813953488,313.95348837209303,1734
313.95348837209303,325.5813953488372,1764
325.5813953488372,337.20930232558135,1818
337.20930232558135,348.83720930232556,1718
348.83720930232556,360.4651162790698,1795
360.4651162790698,372.09302325581393,1858
372.09302325581393,383.7209302325581,1733
383.7209302325581,395.3488372093023,1909
395.3488372093023,406.9767441860465,1656
406.9767441860465,418.6046511627907,1832
418.6046511627907,430.23255813953483,1863
430.23255813953483,441.86046511627904,1664
441.86046511627904,453.48837209302326,1794
453.48837209302326,465.1162790697674,1844
465.1162790697674,476.7441860465116,1646
476.7441860465116,488.3720930232558,1853
488.3720930232558,500.0,1790
