bin_start,bin_end,count
0.0,232.5581395348837,1732
232.5581395348837,465.1162790697674,1685
465.1162790697674,697.6744186046511,1811
697.6744186046511,930.2325581395348,1768
930.2325581395348,1162.7906976744184,1794
1162.7906976744184,1395.3488372093022,1835
1395.3488372093022,1627.906976744186,1790
1627.906976744186,1860.4651162790697,1756
1860.4651162790697,2093.0232558139533,1786
2093.0232558139533,2325.581395348837,1839
2325.581395348837,2558.139534883721,1795
2558.139534883721,2790.6976744186045,1720
2790.6976744186045,3023.255813953488,1800
3023.255813953488,3255.813953488372,1787
3255.813953488372,3488.3720930232557,1736
3488.3720930232557,3720.9302325581393,1811
3720.9302325581393,3953.488372093023,1865
3953.488372093023,4186.0465116279065,1823
4186.0465116279065,4418.60465116279,1755
4418.60465116279,4651.162790697674,1726
4651.162790697674,4883.720930232558,1733
4883.720930232558,5116.279069767442,1822
5116.279069767442,5348.837209302325,1777
5348.837209302325,5581.395348837209,1780
5581.395348837209,5813.953488372093,1797
5813.953488372093,6046.511627906976,1803
6046.511627906976,6279.06976744186,1706
6279.06976744186,6511.627906976744,1817
6511.627906976744,6744.186046511628,1747
6744.186046511628,6976.7441860465115,1734
6976.7441860465115,7209.302325581395,1724
7209.302325581395,7441.860465116279,1743
7441.860465116279,7674.418604651162,1817
7674.418604651162,7906.976744186046,1779
7906.976744186046,8139.534883720929,1794
8139.534883720929,8372.093023255813,1755
8372.093023255813,8604.651162790697,1718
8604.651162790697,8837.20930232558,1854
8837.20930232558,9069.767441860464,1787
9069.767441860464,9302.325581395347,1830
9302.325581395347,9534.883720930233,1759
9534.883720930233,9767.441860465116,1814
9767.441860465116,10000.0,1737
