bin_start,bin_end,count
0.0,1.5789473684210527,396
1.5789473684210527,3.1578947368421053,367
3.1578947368421053,4.7368421052631575,175
4.7368421052631575,6.315789473684211,344
6.315789473684211,7.894736842105264,180
7.894736842105264,9.473684210526315,394
9.473684210526315,11.052631578947368,419
11.052631578947368,12.631578947368421,179
12.631578947368421,14.210526315789474,389
14.210526315789474,15.789473684210527,176
15.789473684210527,17.36842105263158,382
17.36842105263158,18.94736842105263,186
18.94736842105263,20.526315789473685,373
20.526315789473685,22.105263157894736,418
22.105263157894736,23.68421052631579,192
23.68421052631579,25.263157894736842,385
25.263157894736842,26.842105263157894,146
26.842105263157894,28.42105263157895,385
28.42105263157895,30.0,387
